rank,surface,count,share,cum_share,tags
701,까를,10,1.61664393126418e-06,0.9995743376528982,
702,능,10,1.61664393126418e-06,0.9995759542968294,
703,냐면서,10,1.61664393126418e-06,0.9995775709407607,
704,데로,10,1.61664393126418e-06,0.9995791875846919,
705,우니,10,1.61664393126418e-06,0.9995808042286232,
706,어질,10,1.61664393126418e-06,0.9995824208725544,
707,어다가,10,1.61664393126418e-06,0.9995840375164857,
708,억,10,1.61664393126418e-06,0.999585654160417,
709,다오,10,1.61664393126418e-06,0.9995872708043483,
710,거던,10,1.61664393126418e-06,0.9995888874482796,
711,더랬다,10,1.61664393126418e-06,0.9995905040922107,
712,것,10,1.61664393126418e-06,0.999592120736142,
713,으셨다고,10,1.61664393126418e-06,0.9995937373800733,
714,일,9,1.454979538137762e-06,0.9995951923596115,
715,래지,9,1.454979538137762e-06,0.9995966473391495,
716,으매,9,1.454979538137762e-06,0.9995981023186877,
717,을런지,9,1.454979538137762e-06,0.9995995572982259,
718,악,9,1.454979538137762e-06,0.999601012277764,
719,으니깐요,9,1.454979538137762e-06,0.9996024672573022,
720,마당,9,1.454979538137762e-06,0.9996039222368402,
721,관대,9,1.454979538137762e-06,0.9996053772163784,
722,서도,9,1.454979538137762e-06,0.9996068321959165,
723,다라,9,1.454979538137762e-06,0.9996082871754547,
724,으리란,9,1.454979538137762e-06,0.9996097421549929,
725,루선,9,1.454979538137762e-06,0.999611197134531,
726,지며,9,1.454979538137762e-06,0.9996126521140691,
727,론,9,1.454979538137762e-06,0.9996141070936072,
728,커녕,9,1.454979538137762e-06,0.9996155620731454,
729,가요,9,1.454979538137762e-06,0.9996170170526835,
730,재,9,1.454979538137762e-06,0.9996184720322216,
731,삽,9,1.454979538137762e-06,0.9996199270117598,
732,더랬,9,1.454979538137762e-06,0.9996213819912979,
733,그레,9,1.454979538137762e-06,0.9996228369708361,
734,수다,9,1.454979538137762e-06,0.9996242919503742,
735,아지므로,9,1.454979538137762e-06,0.9996257469299124,
736,닷,9,1.454979538137762e-06,0.9996272019094504,
737,무,9,1.454979538137762e-06,0.9996286568889886,
738,께요,9,1.454979538137762e-06,0.9996301118685268,
739,리다,9,1.454979538137762e-06,0.9996315668480649,
740,려나요,9,1.454979538137762e-06,0.999633021827603,
741,우며,9,1.454979538137762e-06,0.9996344768071411,
742,실래요,9,1.454979538137762e-06,0.9996359317866793,
743,리요,9,1.454979538137762e-06,0.9996373867662175,
744,로구나,9,1.454979538137762e-06,0.9996388417457556,
745,욘,9,1.454979538137762e-06,0.9996402967252938,
746,려거든,9,1.454979538137762e-06,0.9996417517048318,
747,라나,9,1.454979538137762e-06,0.99964320668437,
748,드시,9,1.454979538137762e-06,0.9996446616639081,
749,애,8,1.293315145011344e-06,0.9996459549790532,
750,너라,8,1.293315145011344e-06,0.9996472482941982,
751,로라,8,1.293315145011344e-06,0.9996485416093431,
752,라느니,8,1.293315145011344e-06,0.9996498349244882,
753,자꾸나,8,1.293315145011344e-06,0.9996511282396332,
754,을게요,8,1.293315145011344e-06,0.9996524215547782,
755,쟈,8,1.293315145011344e-06,0.9996537148699232,
