rank,surface,count,share,cum_share,tags
394,튼,44,7.088534344029448e-06,0.9984276342000517,
395,여라,44,7.088534344029448e-06,0.9984347227343957,
396,슴,44,7.088534344029448e-06,0.9984418112687397,
397,세용,43,6.927431290756052e-06,0.9984487387000305,
398,네여,43,6.927431290756052e-06,0.9984556661313212,
399,습니다만,42,6.766328237482655e-06,0.9984624324595587,
400,니당,42,6.766328237482655e-06,0.9984691987877962,
401,거니,42,6.766328237482655e-06,0.9984759651160336,
402,쇼,42,6.766328237482655e-06,0.9984827314442711,
403,람,41,6.605225184209258e-06,0.9984893366694554,
404,어선,41,6.605225184209258e-06,0.9984959418946395,
405,다는데요,41,6.605225184209258e-06,0.9985025471198238,
406,을시,41,6.605225184209258e-06,0.998509152345008,
407,대지,41,6.605225184209258e-06,0.9985157575701922,
408,아야지,40,6.4441221309358624e-06,0.9985222016923231,
409,셧,40,6.4441221309358624e-06,0.9985286458144541,
410,더냐,40,6.4441221309358624e-06,0.998535089936585,
411,냐고요,40,6.4441221309358624e-06,0.9985415340587159,
412,다만,40,6.4441221309358624e-06,0.9985479781808468,
413,은가요,39,6.283019077662466e-06,0.9985542611999245,
414,다구요,39,6.283019077662466e-06,0.9985605442190022,
415,으셨다면,39,6.283019077662466e-06,0.9985668272380799,
416,으냐,38,6.121916024389069e-06,0.9985729491541042,
417,은커녕,38,6.121916024389069e-06,0.9985790710701287,
418,던지라,38,6.121916024389069e-06,0.998585192986153,
419,건대,37,5.960812971115673e-06,0.9985911537991241,
420,을지라도,37,5.960812971115673e-06,0.9985971146120952,
421,으십니까,37,5.960812971115673e-06,0.9986030754250664,
422,냐면,37,5.960812971115673e-06,0.9986090362380375,
423,온,37,5.960812971115673e-06,0.9986149970510086,
424,라는데,37,5.960812971115673e-06,0.9986209578639798,
425,류,37,5.960812971115673e-06,0.9986269186769509,
426,던가요,36,5.799709917842276e-06,0.9986327183868687,
427,였으므로,36,5.799709917842276e-06,0.9986385180967865,
428,는다며,36,5.799709917842276e-06,0.9986443178067044,
429,리이다,36,5.799709917842276e-06,0.9986501175166222,
430,읍니다,36,5.799709917842276e-06,0.99865591722654,
431,세,36,5.799709917842276e-06,0.9986617169364579,
432,머,36,5.799709917842276e-06,0.9986675166463758,
433,고야,36,5.799709917842276e-06,0.9986733163562935,
434,샷,36,5.799709917842276e-06,0.9986791160662114,
435,으라면,36,5.799709917842276e-06,0.9986849157761293,
